module,family,selected_units,winner,svd_relative_error,swd_relative_error,svd_mean_active_edges,swd_mean_active_edges,swd_best_sparsity,swd_error_over_svd,svd_edges_over_swd
h.1.attn.o_proj,attention,16,svd_omp,0.5429565906524658,0.7989697456359863,24576,5465.9560546875,0.82,1.4715168015105442,4.496194216366612
h.1.attn.o_proj,attention,24,svd_omp,0.4856335520744324,0.7532212734222412,36864,11883.84375,0.45,1.5510074833272558,3.1020266485748773
h.1.attn.o_proj,attention,32,svd_omp,0.4423970878124237,0.7117782831192017,49152,18924.822265625,0.3,1.6089126776101101,2.5972238634589226
h.1.attn.o_proj,attention,48,svd_omp,0.3781135678291321,0.6422921419143677,73728,27842.62109375,0.3,1.6986752038599597,2.6480265543875166
h.1.attn.o_proj,attention,64,svd_omp,0.33077019453048706,0.5857963562011719,98304,36666.55859375,0.3,1.7710070795002633,2.6810260839902336
h.1.mlp.c_fc,mlp,1,svd_omp,0.33716925978660583,0.9411104321479797,3840,1920.9091796875,0.76,2.7912106600216395,1.999053386076641
h.1.mlp.c_fc,mlp,2,svd_omp,0.30430981516838074,0.8910410404205322,7680,3771.77978515625,0.76,2.928071971413414,2.0361740179594943
h.1.mlp.c_fc,mlp,4,svd_omp,0.26990169286727905,0.81032794713974,15360,7153.66455078125,0.76,3.002307760767581,2.1471512804332624
h.1.mlp.c_fc,mlp,8,svd_omp,0.23926278948783875,0.703808605670929,30720,12548.408203125,0.76,2.941571512969016,2.4481192755866537
h.1.mlp.c_fc,mlp,12,svd_omp,0.22238311171531677,0.6370337605476379,46080,16686.1328125,0.76,2.8645779602325883,2.7615745672047103
h.1.mlp.c_fc,mlp,16,svd_omp,0.21036531031131744,0.5860608816146851,61440,20315.546875,0.76,2.7859197923240275,3.024284818815639
h.1.mlp.c_fc,mlp,24,svd_omp,0.19348827004432678,0.5049395561218262,92160,33774.609375,0.69,2.609664947679506,2.7286770063495367
h.1.mlp.c_fc,mlp,32,svd_omp,0.1814148873090744,0.4452107846736908,122880,42236.80078125,0.69,2.45410280973904,2.909311257649741
h.1.mlp.c_fc,mlp,48,svd_omp,0.1638735681772232,0.36455366015434265,184320,58393.1640625,0.69,2.22460317554135,3.156533867606774
h.1.mlp.c_fc,mlp,64,svd_omp,0.15072600543498993,0.31485414505004883,245760,74027.25,0.69,2.088917198736813,3.3198585655957773
h.1.mlp.down_proj,mlp,1,svd_omp,0.20458175241947174,0.9638116955757141,3840,1052.97802734375,0.76,4.71113226950724,3.6467997434731014
h.1.mlp.down_proj,mlp,2,svd_omp,0.19131973385810852,0.9298452734947205,7680,2040.73095703125,0.76,4.86016395038651,3.7633574252102626
h.1.mlp.down_proj,mlp,4,svd_omp,0.18185727298259735,0.8729148507118225,15360,3885.90869140625,0.76,4.799999672244922,3.9527434172524147
h.1.mlp.down_proj,mlp,8,svd_omp,0.17106197774410248,0.78005450963974,30720,7129.05029296875,0.76,4.560069513557539,4.309129370331216
h.1.mlp.down_proj,mlp,12,svd_omp,0.16368509829044342,0.7126204967498779,46080,10180.1455078125,0.76,4.353606432061406,4.526457894402103
h.1.mlp.down_proj,mlp,16,svd_omp,0.1577906757593155,0.6586176753044128,61440,13191.0693359375,0.76,4.173996163810269,4.6576966912465565
h.1.mlp.down_proj,mlp,24,svd_omp,0.1484093964099884,0.5774998068809509,92160,24846.4921875,0.69,3.8912617452171205,3.7091754966668775
h.1.mlp.down_proj,mlp,32,svd_omp,0.1408434808254242,0.5213338136672974,122880,32543.525390625,0.69,3.7015118528168993,3.7758662752437617
h.1.mlp.down_proj,mlp,48,svd_omp,0.12873119115829468,0.4414556324481964,184320,47869.3515625,0.69,3.429282588594704,3.850480401000314
h.1.mlp.down_proj,mlp,64,svd_omp,0.11900840699672699,0.38113486766815186,245760,63152.8203125,0.69,3.20258776070025,3.891512663787655
h.2.attn.q_proj,attention,1,svd_omp,0.7022663950920105,0.8986585140228271,1536,394.052734375,0.82,1.2796547297483678,3.8979554410051795
h.2.attn.q_proj,attention,2,svd_omp,0.6473848223686218,0.8732118606567383,3072,609.669921875,0.82,1.3488296767012098,5.038792123043015
h.2.attn.q_proj,attention,4,svd_omp,0.5939480066299438,0.8406466245651245,6144,990.93310546875,0.82,1.415353894922464,6.200216710989435
h.2.attn.q_proj,attention,8,svd_omp,0.530259370803833,0.7970278263092041,12288,1691.783203125,0.82,1.5030905066344615,7.263342003456504
h.2.attn.q_proj,attention,12,svd_omp,0.4862672984600067,0.7642413377761841,18432,2369.64013671875,0.82,1.57164863892043,7.778396269706532
h.2.attn.q_proj,attention,16,svd_omp,0.4521019458770752,0.7370333671569824,24576,3030.94482421875,0.82,1.6302371044370134,8.108362713707486
h.2.attn.q_proj,attention,24,svd_omp,0.4007696211338043,0.692308783531189,36864,4339.60986328125,0.82,1.7274482571124046,8.494772839355317
h.2.attn.q_proj,attention,32,svd_omp,0.3627881109714508,0.6556928157806396,49152,5628.00244140625,0.82,1.8073712890559377,8.733471691195385
h.2.attn.q_proj,attention,48,svd_omp,0.30791783332824707,0.5896446108818054,73728,27476.859375,0.3,1.9149414131309228,2.683276097670824
h.2.attn.q_proj,attention,64,svd_omp,0.2685251235961914,0.5309172868728638,98304,36142.2109375,0.3,1.9771605716538396,2.7199221478175515
h.2.attn.k_proj,attention,1,svd_omp,0.6495862007141113,0.8916488885879517,1536,432.017578125,0.82,1.3726413640063981,3.5554108855162685
h.2.attn.k_proj,attention,2,svd_omp,0.5941072702407837,0.832302987575531,3072,736.4833984375,0.82,1.4009304872472101,4.171173452813001
h.2.attn.k_proj,attention,4,svd_omp,0.5411444902420044,0.7717812657356262,6144,1298.8935546875,0.82,1.4262018363902755,4.730179757861822
h.2.attn.k_proj,attention,8,svd_omp,0.48539990186691284,0.7265980839729309,12288,2173.0244140625,0.82,1.496906120455191,5.654791506473417
h.2.attn.k_proj,attention,12,svd_omp,0.4493943750858307,0.699710488319397,18432,2877.3779296875,0.82,1.557007668789263,6.405832132729892
h.2.attn.k_proj,attention,16,svd_omp,0.4220128059387207,0.6777761578559875,24576,3550.01171875,0.82,1.606055902375639,6.922794048875279
h.2.attn.k_proj,attention,24,svd_omp,0.3803943395614624,0.6416924595832825,36864,4855.42724609375,0.82,1.686913796674939,7.592328775939858
h.2.attn.k_proj,attention,32,svd_omp,0.3486540913581848,0.6118271350860596,49152,6135.5732421875,0.82,1.7548256287562325,8.010987410603539
h.2.attn.k_proj,attention,48,svd_omp,0.3013691306114197,0.5574625134468079,73728,22764.4140625,0.45,1.849766471820867,3.238739191686586
h.2.attn.k_proj,attention,64,svd_omp,0.26617518067359924,0.5040602087974548,98304,29581.837890625,0.45,1.8937160388953214,3.323120096982015
h.2.attn.v_proj,attention,1,svd_omp,0.9446505308151245,0.9872329831123352,1536,589.92041015625,0.3,1.0450774661191022,2.603741070076157
h.2.attn.v_proj,attention,2,svd_omp,0.9099745154380798,0.9772692918777466,3072,1150.806640625,0.3,1.073952374817079,2.669431937177218
h.2.attn.v_proj,attention,4,svd_omp,0.869555652141571,0.9601356983184814,6144,2263.9404296875,0.3,1.1041681989575098,2.713852325543777
h.2.attn.v_proj,attention,8,svd_omp,0.8158062100410461,0.9312757253646851,12288,4467.53369140625,0.3,1.141540373071969,2.7505108744086706
h.2.attn.v_proj,attention,12,svd_omp,0.7763475179672241,0.9063392877578735,18432,6655.93505859375,0.3,1.1674401821120235,2.769257788385674
h.2.attn.v_proj,attention,16,svd_omp,0.7439323663711548,0.8838777542114258,24576,8842.130859375,0.3,1.1881157403097191,2.7794205255334954
h.2.attn.v_proj,attention,24,svd_omp,0.6915749311447144,0.8439413905143738,36864,13198.443359375,0.3,1.2203180776339857,2.7930566504128755
h.2.attn.v_proj,attention,32,svd_omp,0.6490182280540466,0.8086961507797241,49152,17546.970703125,0.3,1.2460299508142325,2.8011672687893845
h.2.attn.v_proj,attention,48,svd_omp,0.5801738500595093,0.747628927230835,73728,26221.3984375,0.3,1.2886291361703903,2.811749349514456
h.2.attn.v_proj,attention,64,svd_omp,0.5246496796607971,0.6953286528587341,98304,34874.71875,0.3,1.3253198845147232,2.8187754202318835
h.2.attn.o_proj,attention,1,svd_omp,0.6789780855178833,0.9475058317184448,1536,301.86767578125,0.82,1.395488090010659,5.088322212786607
h.2.attn.o_proj,attention,2,svd_omp,0.6485340595245361,0.9108577370643616,3072,593.06591796875,0.82,1.4044871255214328,5.179862654258731
h.2.attn.o_proj,attention,4,svd_omp,0.6146694421768188,0.8583489060401917,6144,1124.13330078125,0.82,1.3964398539162692,5.4655439846235705
h.2.attn.o_proj,attention,8,svd_omp,0.5744425654411316,0.7895399332046509,12288,2091.408203125,0.82,1.3744453853247096,5.875467056904131
h.2.attn.o_proj,attention,12,svd_omp,0.5460396409034729,0.7451064586639404,18432,3019.08837890625,0.82,1.364564773046684,6.105154167986798
h.2.attn.o_proj,attention,16,svd_omp,0.5232016444206238,0.7141253352165222,24576,3924.36328125,0.82,1.364914164226913,6.262417171575405
h.2.attn.o_proj,attention,24,svd_omp,0.48656392097473145,0.6722543835639954,36864,5697.25341796875,0.82,1.3816363165959182,6.470486266897212
h.2.attn.o_proj,attention,32,svd_omp,0.4569534361362457,0.6427741050720215,49152,7443.8203125,0.82,1.4066512126639776,6.603061054209186
h.2.attn.o_proj,attention,48,svd_omp,0.4091591238975525,0.5828241109848022,73728,27223.21875,0.3,1.4244436380471206,2.7082763679441837
h.2.attn.o_proj,attention,64,svd_omp,0.3705092668533325,0.5262418389320374,98304,35937.7578125,0.3,1.4203203158758029,2.735396028680664
h.2.mlp.c_fc,mlp,1,svd_omp,0.6704111099243164,0.9136822819709778,3840,2477.6484375,0.82,1.3628686464848778,1.5498566874461988
h.2.mlp.c_fc,mlp,2,svd_omp,0.6072930097579956,0.867646336555481,7680,4257.9775390625,0.81,1.4287112194840434,1.8036732062449874
h.2.mlp.c_fc,mlp,4,svd_omp,0.5547860264778137,0.8187788128852844,15360,6634.3408203125,0.81,1.4758461349206817,2.315226247191276
h.2.mlp.c_fc,mlp,8,svd_omp,0.50279700756073,0.7708761096000671,30720,15375.11328125,0.69,1.53317561164474,1.9980340592002752
h.2.mlp.c_fc,mlp,12,svd_omp,0.4708562195301056,0.7397692203521729,46080,20385.7578125,0.69,1.571114895945159,2.2604016207700153
h.2.mlp.c_fc,mlp,16,svd_omp,0.44736742973327637,0.7157163619995117,61440,30751.18359375,0.58,1.5998401189515001,1.9979718768446795
h.2.mlp.c_fc,mlp,24,svd_omp,0.413136750459671,0.6744129657745361,92160,50960.18359375,0.45,1.6324206573832023,1.8084707216655895
h.2.mlp.c_fc,mlp,32,svd_omp,0.3878030776977539,0.6384902596473694,122880,65247.58203125,0.45,1.6464290676542699,1.8832881798002452
h.2.mlp.c_fc,mlp,48,svd_omp,0.34994861483573914,0.5820256471633911,184320,93240.953125,0.45,1.6631745990381634,1.9768137692983283
h.2.mlp.c_fc,mlp,64,svd_omp,0.32112598419189453,0.5332199931144714,245760,147985.46875,0.3,1.6604697824634345,1.6607035952643154
h.2.mlp.down_proj,mlp,1,svd_omp,0.8799443244934082,0.9195259213447571,3840,1903.37890625,0.58,1.0449819332309875,2.017464829199717
h.2.mlp.down_proj,mlp,2,svd_omp,0.8149534463882446,0.8922385573387146,7680,5217.203125,0.3,1.0948337739940686,1.4720530935816305
h.2.mlp.down_proj,mlp,4,svd_omp,0.7783705592155457,0.8633915781974792,15360,9982.2646484375,0.3,1.1092294897016906,1.5387289899596344
h.2.mlp.down_proj,mlp,8,svd_omp,0.734557569026947,0.834053099155426,30720,18786.98828125,0.3,1.13544960167013,1.6351742780751888
h.2.mlp.down_proj,mlp,12,svd_omp,0.7039853930473328,0.8133295178413391,46080,27471.720703125,0.3,1.1553215817741471,1.6773612580721327
h.2.mlp.down_proj,mlp,16,svd_omp,0.6794600486755371,0.7960867285728455,61440,36131.890625,0.3,1.1716461183032723,1.7004368976332802
h.2.mlp.down_proj,mlp,24,svd_omp,0.6403422355651855,0.7670559287071228,92160,53414.59375,0.3,1.1978843282609586,1.7253711678748844
h.2.mlp.down_proj,mlp,32,svd_omp,0.6087941527366638,0.7415801286697388,122880,70680.90625,0.3,1.2181130934588855,1.7385176070800592
h.2.mlp.down_proj,mlp,48,svd_omp,0.558067798614502,0.6969200372695923,184320,83378.765625,0.45,1.2488089063726926,2.2106347895456744
h.2.mlp.down_proj,mlp,64,svd_omp,0.5170959234237671,0.6581377983093262,245760,139621.9375,0.3,1.272757661579887,1.7601818482142177
h.3.attn.q_proj,attention,1,svd_omp,0.6410724520683289,0.9102232456207275,1536,359.3955078125,0.82,1.4198445786962488,4.273843068737925
h.3.attn.q_proj,attention,2,svd_omp,0.5739336013793945,0.866378903388977,3072,662.88232421875,0.82,1.5095455315853927,4.63430670537271
h.3.attn.q_proj,attention,4,svd_omp,0.5222312808036804,0.8181709051132202,6144,1189.69189453125,0.82,1.5666830678049537,5.164362326281793
h.3.attn.q_proj,attention,8,svd_omp,0.4696454703807831,0.7616467475891113,12288,2038.66015625,0.82,1.6217483093610527,6.027488182534102
h.3.attn.q_proj,attention,12,svd_omp,0.4361802935600281,0.7254278063774109,18432,2793.810546875,0.82,1.6631375077874213,6.597440911165935
h.3.attn.q_proj,attention,16,svd_omp,0.4112493097782135,0.6982317566871643,24576,3498.8779296875,0.82,1.697830829342231,7.023966109670762
h.3.attn.q_proj,attention,24,svd_omp,0.37412816286087036,0.6566629409790039,36864,4845.1962890625,0.82,1.7551817964134437,7.608360487523786
